SACK,Window Size(in kB),CCP,Link Delay(in ms),Link Drop %,Time Taken,Throughput,System Time,Latency
0,16,reno,2,0.5,6.66,383.4,6.82,0.16
0,16,reno,2,5,4.9,434.2,5.0,0.1
0,16,reno,50,0.5,4.26,484.0,4.38,0.12
0,16,reno,50,5,5.78,353.0,6.16,0.38
0,16,cubic,2,0.5,7.72,339.6,7.8,0.08
0,16,cubic,2,5,13.42,177.24,14.32,0.9
0,16,cubic,50,0.5,17.26,131.9,24.46,7.2
0,16,cubic,50,5,9.3,260.4,18.16,8.86
0,256,reno,2,0.5,5.46,458.6,5.48,0.02
0,256,reno,2,5,7.2,333.8,8.46,1.26
0,256,reno,50,0.5,3.86,574.8,3.94,0.08
0,256,reno,50,5,4.48,518.4,4.56,0.08
0,256,cubic,2,0.5,7.6,333.0,7.62,0.02
0,256,cubic,2,5,5.4,399.4,6.36,0.96
0,256,cubic,50,0.5,4.22,579.4,4.3,0.08
0,256,cubic,50,5,3.28,627.6,3.5,0.22
1,16,reno,2,0.5,6.18,333.8,6.28,0.1
1,16,reno,2,5,4.76,430.8,5.08,0.32
1,16,reno,50,0.5,4.16,533.6,4.2,0.04
1,16,reno,50,5,3.54,432.616,3.56,0.02
1,16,cubic,2,0.5,5.3,411.6,5.64,0.34
1,16,cubic,2,5,3.98,588.8,4.08,0.1
1,16,cubic,50,0.5,5.52,391.2,5.78,0.26
1,16,cubic,50,5,3.84,555.4,3.98,0.14
1,256,reno,2,0.5,4.04,506.6,4.16,0.12
1,256,reno,2,5,3.52,571.8,3.72,0.2
1,256,reno,50,0.5,4.42,464.8,4.66,0.24
1,256,reno,50,5,3.02,690.8,3.18,0.16
1,256,cubic,2,0.5,4.24,499.2,4.4,0.16
1,256,cubic,2,5,7.16,289.8,7.66,0.5
1,256,cubic,50,0.5,5.1,398.6,5.3,0.2
1,256,cubic,50,5,5.18,398.0,5.3,0.12
