Time Taken,Throughput,System Time,Latency
1.06,446.62,1.14,0.08
2.32,461.8,2.34,0.02
6.66,383.4,6.82,0.16
0.98,562.0,1.22,0.24
2.08,505.8,2.08,0.0
4.9,434.2,5.0,0.1
1.36,397.2,1.44,0.08
2.78,371.4,2.9,0.12
4.26,484.0,4.38,0.12
1.28,425.0,1.46,0.18
1.8,576.0,1.9,0.1
5.78,353.0,6.16,0.38
0.68,376.526,0.92,0.24
2.58,394.066,2.66,0.08
7.72,339.6,7.8,0.08
2.04,342.0,2.36,0.32
3.74,270.4,3.84,0.1
13.42,177.24,14.32,0.9
2.34,341.4,3.78,1.44
5.58,203.2,6.04,0.46
17.26,131.9,24.46,7.2
3.42,162.6,9.42,6.0
10.38,322.64,10.44,0.06
9.3,260.4,18.16,8.86
2.32,279.6,2.48,0.16
2.34,456.2,2.88,0.54
5.46,458.6,5.48,0.02
1.18,435.2,1.36,0.18
5.88,245.4,5.92,0.04
7.2,333.8,8.46,1.26
1.74,230.84,2.78,1.04
1.78,659.0,2.04,0.26
3.86,574.8,3.94,0.08
0.68,581.61,0.94,0.26
2.06,580.8,2.32,0.26
4.48,518.4,4.56,0.08
1.16,544.0,1.18,0.02
2.14,507.4,2.26,0.12
7.6,333.0,7.62,0.02
0.76,680.4,2.24,1.48
2.08,562.8,2.36,0.28
5.4,399.4,6.36,0.96
1.52,413.6,1.82,0.3
2.26,472.0,2.34,0.08
4.22,579.4,4.3,0.08
1.34,475.2,2.16,0.82
1.52,727.8,1.62,0.1
3.28,627.6,3.5,0.22
1.4,396.6,1.46,0.06
2.32,446.8,2.56,0.24
6.18,333.8,6.28,0.1
0.66,806.0,0.72,0.06
1.68,613.0,1.7,0.02
4.76,430.8,5.08,0.32
0.94,624.6,0.94,0.0
2.42,423.608,2.5,0.08
4.16,533.6,4.2,0.04
0.5,564.09,0.5,0.0
2.06,278.112,2.14,0.08
3.54,432.616,3.56,0.02
3.76,382.46,3.8,0.04
2.76,398.8,2.84,0.08
5.3,411.6,5.64,0.34
1.14,467.4,1.24,0.1
3.86,281.6,4.08,0.22
3.98,588.8,4.08,0.1
0.74,501.678,0.8,0.06
1.68,622.8,1.76,0.08
5.52,391.2,5.78,0.26
1.12,485.2,1.22,0.1
2.38,470.0,3.0,0.62
3.84,555.4,3.98,0.14
0.7,760.2,0.7,0.0
2.74,373.8,3.04,0.3
4.04,506.6,4.16,0.12
0.98,417.006,1.24,0.26
2.12,595.8,2.16,0.04
3.52,571.8,3.72,0.2
0.96,570.0,1.16,0.2
2.14,544.8,2.2,0.06
4.42,464.8,4.66,0.24
1.02,589.8,1.34,0.32
1.62,454.432,1.94,0.32
3.02,690.8,3.18,0.16
0.9,574.6,1.32,0.42
1.72,603.4,1.74,0.02
4.24,499.2,4.4,0.16
1.1,528.2,1.18,0.08
2.12,590.6,2.18,0.06
7.16,289.8,7.66,0.5
2.26,316.92,2.72,0.46
2.54,407.2,2.58,0.04
5.1,398.6,5.3,0.2
1.14,463.4,1.4,0.26
2.56,419.8,2.82,0.26
5.18,398.0,5.3,0.12
